degree,name,sound_type,energy,ecosystem,season,family,lat,lon
76,Hoary Marmot,loud penetrating whistle,5,alpine talus,resident,Sciuridae,47.606,-122.332
77,Olympic Marmot,musical multi-note whistle,4,Olympic alpine,resident,Sciuridae,47.699,-122.355
78,Townsend's Ground Squirrel,chirping trill alarm,4,open grassland,spring-summer,Sciuridae,47.606,-122.332
79,Golden-mantled Ground Squirrel,sharp chip alarm,4,forest edge,summer,Sciuridae,47.606,-122.332
80,Douglas Squirrel,loud scolding chatter rattle,5,conifer canopy,resident,Sciuridae,47.651,-122.35
81,Eastern Fox Squirrel,bark + chatter,4,urban park,resident,Sciuridae,47.606,-122.332
82,Northern Flying Squirrel,high thin tseet contact call,3,old-growth,nocturnal,Sciuridae,47.606,-122.332
83,Deer Mouse,ultrasonic + soft chip,2,varied habitat,resident,Cricetidae,47.562,-122.386
84,Bushy-tailed Woodrat,chatter + twig gnaw sounds,3,rocky outcrop,resident,Cricetidae,47.606,-122.332
85,Muskrat,quiet plop into water,3,marsh,resident,Cricetidae,47.606,-122.332
86,Pacific Treefrog night chorus,amplified krek-krek wall of sound,4,marsh,spring,Hylidae,47.623,-122.315
87,Cricket chorus,rhythmic chirp field chorus,4,dry meadow,summer,Gryllidae,47.623,-122.315
88,Katydid,continuous electric buzz,4,shrub/meadow,summer,Tettigoniidae,47.623,-122.315
89,Cicada (annual),electric buzzing throb,4,forest edge,summer,Cicadidae,47.623,-122.315
90,Spring peeper-like chorus,bell-like peep chorus,4,wet meadow,spring,Hylidae,47.606,-122.332
91,Mosquito swarm,ultra-thin hum cloud,2,wetland,summer,Culicidae,47.623,-122.315
92,Bumblebee drone,deep resonant buzz,3,wildflower meadow,summer,Apidae,47.623,-122.315
93,Hornet nest buzz,aggressive papery hum,5,woodland,summer,Vespidae,47.623,-122.315
94,Stonefly hatch,wing rustle on stream surface,2,cold stream,spring,Perlidae,47.606,-122.332
95,Mayfly emergence,mass wing buzz over water,3,stream/lake,spring,Ephemeroptera,47.606,-122.332
96,Wood Frog,duck-like clucking chorus,4,vernal pool,spring,Ranidae,47.606,-122.332
97,Toad chorus,sustained musical purring,4,pond,spring,Bufonidae,47.606,-122.332
98,Tree cricket song,pure sustained trill thermometer,3,shrub,summer,Gryllidae,47.606,-122.332
99,Click beetle,mechanical click when startled,2,dead wood,summer,Elateridae,47.606,-122.332
100,Raven,deep cronk + bell + hollow knock,4,open forest,resident,Corvidae,47.606,-122.332
101,Common Raven pair,complex duet vocalizations,5,territorial,resident,Corvidae,47.606,-122.332
102,American Crow,caw caw caw complex,4,varied,resident,Corvidae,47.608,-122.297
103,Steller's Jay,shack-shack-shack raucous,5,conifer forest,resident,Corvidae,47.623,-122.315
104,Gray Jay (Canada Jay),soft whistles + mimicry,4,subalpine,resident,Corvidae,47.606,-122.332
105,Clark's Nutcracker,harsh grating kraa-a-a,5,alpine pine,summer,Corvidae,47.606,-122.332
106,Black-billed Magpie,rolling mek-mek-mek + chatter,5,open country,resident,Corvidae,47.606,-122.332
107,Acorn Woodpecker,waka-waka-waka call,5,oak savanna,resident,Picidae,47.606,-122.332
108,Pileated Woodpecker,wild laughing wuk-wuk-wuk,6,old-growth,resident,Picidae,47.608,-122.297
109,Pileated Woodpecker drumming,resonant machine-gun drum,6,dead snag,resident,Picidae,47.608,-122.297
110,Hairy Woodpecker,sharp peek + stuttering drum,5,forest,resident,Picidae,47.606,-122.332
111,Downy Woodpecker,pik + soft rattle drum,4,varied forest,resident,Picidae,47.606,-122.332
112,Lewis's Woodpecker,churring call,4,open pine,summer,Picidae,47.606,-122.332
113,White-headed Woodpecker,sharp chick-ick,4,ponderosa pine,resident,Picidae,47.606,-122.332
114,Three-toed Woodpecker,slow deliberate drumming,4,beetle-kill,resident,Picidae,47.606,-122.332
115,Black-backed Woodpecker,loud rattle call + unique drum,5,burn forest,resident,Picidae,47.606,-122.332
116,American Dipper,loud bubbly song over rushing water,5,fast stream,resident,Cinclidae,47.606,-122.332
117,Dipper dunking,splash + song integrated,5,rapid creek,resident,Cinclidae,47.658,-122.313
118,Harlequin Duck,squeak + high whistle,4,turbulent stream,resident,Anatidae,47.606,-122.332
119,Common Merganser,guttural croak in flight,4,river,resident,Anatidae,47.606,-122.332
120,Hooded Merganser,rolling frog-like call,4,wooded pond,resident,Anatidae,47.623,-122.315
121,Wood Duck,rising ooo-eek flight call,4,wooded pond,summer,Anatidae,47.658,-122.313
122,Bufflehead,squeaky peeping,3,lake,winter,Anatidae,47.606,-122.332
123,Barrow's Goldeneye,quiet grunts display,3,mountain lake,resident,Anatidae,47.606,-122.332
124,Common Goldeneye,rattling wing-whistle in flight,4,lake,winter,Anatidae,47.606,-122.332
125,Greater Scaup,soft scaup call,3,saltwater bay,winter,Anatidae,47.606,-122.332
126,Canvasback,low grunts display,3,marsh lake,winter,Anatidae,47.606,-122.332
127,Tundra Swan,high melodious baying flock,5,delta marsh,winter,Anatidae,47.606,-122.332
128,Trumpeter Swan,deep resonant bugling,6,wetland,resident/winter,Anatidae,47.606,-122.332
129,Canada Goose,deep honk flock chorus,5,lake/grass,resident,Anatidae,47.606,-122.332
130,Cackling Goose,higher-pitched cackling call,4,field/lake,winter,Anatidae,47.606,-122.332
131,Brant,low musical honk flocks,4,coastal bay,winter,Anatidae,47.606,-122.332
132,Greater White-fronted Goose,musical laughing call,4,field,winter,Anatidae,47.606,-122.332
133,Snow Goose,shrill dissonant flock call,5,delta,winter,Anatidae,47.606,-122.332
134,Ross's Goose,higher nasal call,4,field,winter,Anatidae,47.606,-122.332
135,Great Horned Owl,deep resonant hoo-h-hoo-hoo,4,varied forest,resident,Strigidae,47.623,-122.315
136,Great Horned Owl pair duet,male-female pitch-different duet,5,territory,winter,Strigidae,47.623,-122.315
137,Barred Owl,who-cooks-for-you phrase,4,mature forest,resident,Strigidae,47.623,-122.315
138,Barred Owl caterwauling,wild ascending screaming sequence,6,forest,resident,Strigidae,47.623,-122.315
139,Long-eared Owl,deep whooo pumping,4,open forest,winter,Strigidae,47.606,-122.332
140,Short-eared Owl,bark + wing-clap display,5,open field,winter,Strigidae,47.606,-122.332
141,Northern Saw-whet Owl,tooting too-too-too,3,forest,resident,Strigidae,47.606,-122.332
142,Western Screech-Owl,descending whinny trill,3,open forest,resident,Strigidae,47.606,-122.332
143,Pygmy Owl,tooting whistled series,3,open forest,resident,Strigidae,47.606,-122.332
144,Flammulated Owl,low hoot almost inaudible,2,ponderosa,summer,Strigidae,47.606,-122.332
145,Common Poorwill,poor-will repeated,3,dry rocky,summer,Caprimulgidae,47.606,-122.332
146,Common Nighthawk,nasal peent + booming dive,5,open sky,summer,Caprimulgidae,47.606,-122.332
147,Vaux's Swift,rapid chipping twittering,4,snag/chimney,summer,Apodidae,47.606,-122.332
148,Black Swift,low chipping calls cliff colony,4,waterfall cliff,summer,Apodidae,47.606,-122.332
149,Band-tailed Pigeon,deep owl-like coo-coo,3,forest,summer,Columbidae,47.606,-122.332
150,Mourning Dove,mournful oo-woo-woo,3,open woodland,summer,Columbidae,47.606,-122.332
151,Eurasian Collared-Dove,three-note hoo-HOO-hoo,3,urban,resident,Columbidae,47.606,-122.332
152,Rock Pigeon wing clap,loud wing slap on takeoff,4,urban cliff,resident,Columbidae,47.606,-122.332
153,Wild Turkey gobble,powerful liquid gobble,6,oak woodland,resident,Phasianidae,47.606,-122.332
154,Blue Grouse,deep resonant thumping booming,5,conifer slope,resident,Phasianidae,47.606,-122.332
155,Ruffed Grouse drumming,accelerating wing-drum on log,5,forest,resident,Phasianidae,47.606,-122.332
156,Sooty Grouse,deep muffled booming,5,mountain forest,resident,Phasianidae,47.606,-122.332
157,Spruce Grouse,wing claps + soft clucking,4,spruce forest,resident,Phasianidae,47.606,-122.332
158,White-tailed Ptarmigan,cackling + soft clucks,3,alpine,resident,Phasianidae,47.606,-122.332
159,California Quail,chi-CA-go call,4,brushy open,resident,Odontophoridae,47.606,-122.332
160,Mountain Quail,loud quee-ark,4,dense brush,resident,Odontophoridae,47.606,-122.332
161,Virginia Rail,descending whinny grunt,4,freshwater marsh,summer,Rallidae,47.606,-122.332
162,Sora rail,descending whinny + keek,4,marsh,summer,Rallidae,47.606,-122.332
163,American Bittern,pump-er-LUNK booming,4,dense marsh,summer,Ardeidae,47.606,-122.332
164,American Coot,clucking + grunting flock,4,open water,resident,Rallidae,47.606,-122.332
165,Sandhill Crane,loud resonant bugling,6,open field,migrant,Gruidae,47.606,-122.332
166,Black Oystercatcher,loud piping wheep-wheep,5,rocky shore,resident,Haematopodidae,47.606,-122.332
167,Killdeer,kill-dee alarm + broken-wing act,5,open ground,resident,Charadriidae,47.606,-122.332
168,Snipe winnowing,eerie tremolo dive sound,4,wet meadow,summer,Scolopacidae,47.606,-122.332
169,Dunlin flock,sighing collective wind-sound,3,tidal flat,winter,Scolopacidae,47.606,-122.332
170,Whimbrel,rippling curlew call,4,tidal flat,migrant,Scolopacidae,47.606,-122.332
171,Long-billed Curlew,loud curleee rising,5,open field,migrant,Scolopacidae,47.606,-122.332
172,Marbled Godwit,loud godwit! repeated,5,tidal flat,migrant,Scolopacidae,47.606,-122.332
173,Greater Yellowlegs,loud klew-klew-klew,5,shore,migrant,Scolopacidae,47.606,-122.332
174,Pigeon Guillemot,thin high whistle,3,rocky coast,summer,Alcidae,47.606,-122.332
175,Rhinoceros Auklet,grunting moaning colony,4,offshore island,summer,Alcidae,47.606,-122.332
176,Tufted Puffin,deep grunting growl,4,rocky island,summer,Alcidae,47.606,-122.332
177,Common Murre,growling guttural colony roar,5,rocky cliff,summer,Alcidae,47.606,-122.332
178,Marbled Murrelet,keer keer call inland forest,4,old-growth,summer,Alcidae,47.606,-122.332
179,Ancient Murrelet,shrill twitter colony night,4,island colony,summer,Alcidae,47.606,-122.332
180,Harbor Seal,guttural bark + liquid gaze,4,haul-out rock,resident,Phocidae,47.608,-122.297
181,Harbor Seal pup,high bleat call for mother,4,beach,summer,Phocidae,47.608,-122.297
182,Steller Sea Lion,roaring bark colony,6,rock haul-out,resident,Otariidae,47.606,-122.332
183,California Sea Lion,rapid bark / honk,6,dock/rock,resident,Otariidae,47.606,-122.332
184,Northern Fur Seal,growl + bleat colony,5,offshore island,summer,Otariidae,47.606,-122.332
185,Sea Otter,high whine + growl surface,4,kelp bed,resident,Mustelidae,47.606,-122.332
186,Dall's Porpoise,no vocalization + rooster-tail splash,5,open water,resident,Phocoenidae,47.606,-122.332
187,Harbor Porpoise,silent / echolocation (inaudible),1,inland sea,resident,Phocoenidae,47.606,-122.332
188,Pacific White-sided Dolphin,squawks + whistles,5,open water,resident,Delphinidae,47.606,-122.332
189,Risso's Dolphin,low grunts + clicks,4,deep water,visitor,Delphinidae,47.606,-122.332
190,Minke Whale,low thump + ratchet,4,open sea,summer,Balaenopteridae,47.606,-122.332
191,Humpback Whale song,complex hour-long spiral song,8,open ocean,summer,Balaenopteridae,47.606,-122.332
192,Gray Whale blow,powerful explosive blow,5,near shore,migrant,Eschrichtiidae,47.606,-122.332
193,Gray Whale breach,massive body-slap on water,7,near shore,migrant,Eschrichtiidae,47.606,-122.332
194,Blue Whale infrasound,deepest animal sound below hearing,5,open ocean,rare visitor,Balaenopteridae,47.606,-122.332
195,Black-tailed Deer fawn bleat,thin high mew,3,forest/meadow,resident,Cervidae,47.608,-122.297
196,Black-tailed Deer buck grunt,low guttural rut grunt,4,forest,fall rut,Cervidae,47.608,-122.297
197,Roosevelt Elk bugle,high screaming whistle + grunt,7,old-growth,fall rut,Cervidae,47.606,-122.332
198,Roosevelt Elk cow call,bark + mew,5,dense forest,resident,Cervidae,47.606,-122.332
199,Roosevelt Elk rut roar,powerful deep bellowing,7,river valley,fall,Cervidae,47.606,-122.332
200,Black Bear huff,explosive warning breath exhalation,5,forest,resident,Ursidae,47.608,-122.297
201,Black Bear jaw-pop,loud tooth-pop intimidation,6,trail conflict,resident,Ursidae,47.608,-122.297
202,Black Bear cub distress,high mewling squall,4,near sow,summer,Ursidae,47.608,-122.297
203,Mountain Goat bleat,goat-like bleating,4,rocky cliff,resident,Bovidae,47.606,-122.332
204,Mountain Goat kid,high thin mew,3,high alpine,summer,Bovidae,47.606,-122.332
205,Bighorn Sheep clash,resonant cranial impact crack,6,rocky slope,fall,Bovidae,47.606,-122.332
206,Mountain Beaver squeak,thin whistle,2,dense understory,resident,Aplodontidae,47.606,-122.332
207,Porcupine,moaning teeth-chattering,3,tree/ground,nocturnal,Erethizontidae,47.606,-122.332
208,Coyote howl,ascending yip-howl group chorus,6,varied,resident,Canidae,47.608,-122.297
209,Coyote pup chorus,chaotic yipping,5,den site,summer,Canidae,47.608,-122.297
210,Gray Wolf howl,sustained bass resonant howl,7,remote forest,resident,Canidae,47.606,-122.332
211,Gray Wolf pack chorus,multi-voice harmonic howl,8,pack territory,resident,Canidae,47.606,-122.332
212,Cougar scream,blood-curdling rising shriek,8,forest,resident,Felidae,47.608,-122.297
213,Cougar chirp,bird-like contact chirp,4,forest,resident,Felidae,47.608,-122.297
214,Bobcat yowl,raspy cat-like yowl,5,forest/brush,resident,Felidae,47.606,-122.332
215,Canada Lynx,yowl + chatter,5,boreal,winter,Felidae,47.606,-122.332
216,Wolverine,loud guttural growl,6,remote wilderness,resident,Mustelidae,47.606,-122.332
217,Grizzly Bear roar,deep resonant roar,8,remote wilderness,resident,Ursidae,48.27,-117.715
218,Grizzly Bear jaw-pop,loud cracking intimidation display,7,trail,resident,Ursidae,48.27,-117.715
219,American Badger,low growl + hiss,5,open grassland,resident,Mustelidae,47.606,-122.332
220,Ringtail,loud bark + chitter,5,rocky canyon,rare,Procyonidae,47.606,-122.332
221,Bald Eagle call,thin descending kee-kee-kee,5,water/forest,resident,Accipitridae,47.608,-122.297
222,Bald Eagle territorial,long series piercing calls,6,nest territory,resident,Accipitridae,47.608,-122.297
223,Golden Eagle,high thin whistle,4,open country,resident,Accipitridae,47.606,-122.332
224,Osprey,loud series chewk-chewk-chewk,5,water,summer,Pandionidae,47.608,-122.297
225,Northern Goshawk,loud rapid ka-ka-ka-ka alarm,6,mature forest,resident,Accipitridae,47.608,-122.297
226,Cooper's Hawk,rapid cak-cak-cak alarm,5,forest edge,resident,Accipitridae,47.608,-122.297
227,Sharp-shinned Hawk,high kik-kik-kik,5,forest,resident,Accipitridae,47.608,-122.297
228,Red-tailed Hawk,ragged raspy descending scream,6,open country,resident,Accipitridae,47.608,-122.297
229,Ferruginous Hawk,loud rough alarm call,6,open grassland,winter,Accipitridae,47.606,-122.332
230,Rough-legged Hawk,catlike mew,4,open field,winter,Accipitridae,47.606,-122.332
231,Peregrine Falcon,loud rapid kak-kak-kak-kak,7,cliff/city,resident,Falconidae,47.608,-122.297
232,Prairie Falcon,sharp kik-ki-ki-ki-ki,6,canyon,resident,Falconidae,47.606,-122.332
233,Merlin,rapid chatter ki-ki-ki,5,open country,winter,Falconidae,47.606,-122.332
234,American Kestrel,shrill killy-killy-killy,5,open field,resident,Falconidae,47.606,-122.332
235,Turkey Vulture,hissing grunt only,2,open country,summer,Cathartidae,47.606,-122.332
236,Pacific Salmon in stream,splashing + tail-slap spawning,5,gravel stream,fall,Salmonidae,47.608,-122.297
237,Chinook Salmon leap,massive body-slap waterfall base,6,river,fall,Salmonidae,47.608,-122.297
238,Coho Salmon spawning,aggressive splashing males,6,stream,fall,Salmonidae,47.608,-122.297
239,Steelhead leap,metallic splash clean jump,5,river,winter,Salmonidae,47.608,-122.297
240,Bull Trout,silent / water sound,2,cold clear stream,resident,Salmonidae,47.608,-122.297
241,Dolly Varden,silent / ripple in shallow,2,glacial stream,resident,Salmonidae,47.606,-122.332
242,Cutthroat Trout,silent / surface rise dimple,2,mountain lake,resident,Salmonidae,47.606,-122.332
243,Pacific Lamprey,silent / sucker sound,1,rock/stream,resident,Petromyzontidae,47.606,-122.332
244,White Sturgeon,silent leaping splash,4,major river,resident,Acipenseridae,47.606,-122.332
245,River current over boulders,complex polyrhythmic water percussion,5,mountain stream,year-round,Hydrology,47.608,-122.297
246,Waterfall Snoqualmie,roaring white-noise wall,7,basalt cliff,year-round,Hydrology,47.543,-121.837
247,Waterfall Sol Duc,resonant canyon roar,7,Olympic,year-round,Hydrology,47.972,-123.826
248,Rainforest rain on big-leaf maple,complex patter-drip percussion,4,Hoh Rainforest,year-round,Meteorology,47.86,-123.934
249,Wind through Sitka spruce,deep organ-like moan,4,coastal forest,storm,Meteorology,47.86,-123.934
250,Wind through old-growth fir,multi-harmonic resonance,5,old-growth,storm,Meteorology,47.606,-122.332
251,Pacific rain on water surface,sustained white noise with texture,3,open water,winter,Meteorology,47.606,-122.332
252,Tidal surge on cobble beach,rhythmic stone percussion,4,gravel beach,tidal,Hydrology,47.606,-122.332
253,Puget Sound tidal current,low subsonic pulse,2,channel,tidal,Hydrology,47.606,-122.332
254,Fog horn (Admiralty Inlet),low periodic moan,3,shipping channel,fog,Maritime,47.606,-122.332
255,Log truck road vibration,low-frequency road percussion,3,forest road,season,Anthropogenic,47.606,-122.332
256,Winter storm surf,massive roaring wave crush,8,outer coast,winter,Meteorology,47.86,-123.934
257,Juan de Fuca surf,sustained low-frequency roar,8,open coast,winter,Meteorology,48.5,-124.7
258,Olympic Peninsula wind storm,howling multi-tonal chaos,8,ridge,winter,Meteorology,47.8,-123.5
259,Thunderstorm Cascades,rolling crack + rumble,8,high ridge,summer,Meteorology,47.606,-122.332
260,Lightning strike tree,explosive crack + crackle,9,forest,summer,Meteorology,47.606,-122.332
261,Volcanic tremor Mt Rainier,very low infrasonic pulse,5,volcano,periodic,Geophysics,46.852,-121.761
262,Lahar simulation rumble,deep ground vibration percussion,7,drainage,hypothetical,Geophysics,46.852,-121.761
263,Earthquake P-wave rumble,deep rolling subsonic,5,fault zone,episodic,Geophysics,47.606,-122.332
264,Puget Sound submarine canyon,infrasonic flow sound,2,deep water,continuous,Hydrology,47.606,-122.332
265,Glacier calving Mt Rainier,sharp crack + rumble cascade,6,glacial front,summer,Geophysics,46.852,-121.761
266,Rockslide,accelerating stone-fall percussion,7,cliff face,episodic,Geophysics,47.606,-122.332
267,Mudslide (Oso type),deep rumbling wall movement,8,unstable slope,episodic,Geophysics,48.27,-121.84
268,Pacific Wren rain-day chorus,amplified chorus in wet forest,5,wet old-growth,storm day,Troglodytidae,47.608,-122.297
269,Mixed-species dawn chorus,layered polyrhythmic bird symphony,7,forest edge,spring dawn,Multi-species,47.252,-122.444
270,Puget Sound orca S01 pod call,repertoire-specific calls clan,8,inland sea,resident,Delphinidae,47.606,-122.332
271,Southern Resident Killer Whale,complex whistles + clicks,8,San Juan Channel,resident,Delphinidae,47.606,-122.332
272,Transient Orca hunt sequence,tactical silence then burst,8,inland water,resident,Delphinidae,47.606,-122.332
273,Orca breaching,massive detonation body-slam,9,open water,resident,Delphinidae,47.606,-122.332
274,Orca full-spy-hop,vertical rise + crash,8,inland sea,resident,Delphinidae,47.606,-122.332
275,Orca pec-slap sequence,rhythmic loud body percussion,7,open water,resident,Delphinidae,47.606,-122.332
276,Orca echolocation burst,rapid click trains ultra-precise,8,hunting,resident,Delphinidae,47.037,-122.9
277,Orca multi-pod chorus call,full clan simultaneous vocalizing,9,greeting ceremony,resident,Delphinidae,47.037,-122.9
278,Humpback Whale breach NE Pacific,thunderous body percussion,9,open ocean,summer,Balaenopteridae,47.001,-122.5
279,Blue Whale 20Hz pulse,deepest sustained note in nature,5,open Pacific,rare,Balaenopteridae,47.001,-122.8
280,Sperm Whale click train,loud directional biosonar,7,deep water,rare,Physeteridae,47.608,-122.297
281,Dall's Porpoise high-speed rooster tail,physical percussive wake,6,open water,resident,Phocoenidae,47.608,-122.297
282,Pacific White-sided Dolphin pod,aerial acrobatics + call burst,7,open channel,resident,Delphinidae,47.623,-122.315
283,Steller Sea Lion bull roar,sustained guttural roar colony,8,rookery,summer,Otariidae,47.623,-122.315
284,California Sea Lion dock chorus,overlapping bark cacophony,7,urban waterfront,winter,Otariidae,47.623,-122.315
