Flight_Number,STS_Designation,Orbiter,Launch_Date,Landing_Date,Duration,Crew_Size,Commander,Primary_Payload,Mission_Type,Notable_Events,Status
32,STS-33,Discovery,1989-11-22,1989-11-27,"5d 00h 06m",5,Frederick Gregory,"Magnum-2 (classified SIGINT satellite)",Classified DoD,"Classified DoD mission; fifth night launch",Complete
33,STS-32,Columbia,1990-01-09,1990-01-20,"10d 21h 00m",5,Daniel Brandenstein,"Syncom IV-5 deploy / LDEF retrieval",Satellite Deploy / Retrieval,"Retrieved LDEF (deployed on STS-41-C in 1984 after 5.7 years in orbit); longest mission to date at time",Complete
34,STS-36,Atlantis,1990-02-28,1990-03-04,"4d 10h 18m",5,John Creighton,"AFP-731 (classified KH-11 reconnaissance satellite)",Classified DoD,"Classified DoD mission; highest inclination (62 deg) Shuttle mission from KSC",Complete
35,STS-31,Discovery,1990-04-24,1990-04-29,"5d 01h 16m",5,Loren Shriver,"Hubble Space Telescope (HST)",Satellite Deploy,"Deployed Hubble Space Telescope; one of the most significant Shuttle missions; HST still operational 35+ years later",Complete
36,STS-41,Discovery,1990-10-06,1990-10-10,"4d 02h 10m",5,Richard Richards,"Ulysses solar probe (IUS)",Planetary Probe Deploy,"Deployed Ulysses solar polar orbiter (ESA/NASA); third planetary probe from Shuttle; highest energy Earth-departure ever at time",Complete
37,STS-38,Atlantis,1990-11-15,1990-11-20,"4d 21h 54m",5,Richard Covey,"USA-67 (classified DoD satellite)",Classified DoD,"Classified DoD mission",Complete
38,STS-35,Columbia,1990-12-02,1990-12-10,"8d 23h 05m",7,Vance Brand,"ASTRO-1 (UV astronomy observatory)",Science,"ASTRO-1 ultraviolet astronomy telescopes; multiple delays before launch; Broad Band X-Ray Telescope and Hopkins Ultraviolet Telescope",Complete
39,STS-37,Atlantis,1991-04-05,1991-04-11,"5d 23h 32m",5,Steven Nagel,"Compton Gamma Ray Observatory (GRO)",Satellite Deploy,"Deployed Compton Gamma Ray Observatory (2nd of NASA's Great Observatories); unplanned EVA to free stuck antenna",Complete
40,STS-39,Discovery,1991-04-28,1991-05-06,"8d 07h 22m",7,Michael Coats,"AFP-675 / IBSS / SPAS-II (DoD science)",DoD Science,"Unclassified DoD mission; infrared and ultraviolet background measurements for SDI; largest unclassified DoD payload",Complete
41,STS-40,Columbia,1991-06-05,1991-06-14,"9d 02h 14m",7,Bryan O'Connor,"Spacelab Life Sciences 1 (SLS-1)",Science,"First dedicated Spacelab Life Sciences mission; extensive human physiology research; last Columbia flight to land at Edwards AFB",Complete
42,STS-43,Atlantis,1991-08-02,1991-08-11,"8d 21h 21m",5,John Blaha,"TDRS-5",Satellite Deploy,"Deployed TDRS-E; 5th TDRS satellite",Complete
43,STS-48,Discovery,1991-09-12,1991-09-18,"5d 08h 27m",5,John Creighton,"UARS (Upper Atmosphere Research Satellite)",Satellite Deploy,"Deployed UARS to study ozone depletion and atmospheric chemistry; UARS operated until 2005",Complete
44,STS-44,Atlantis,1991-11-24,1991-12-01,"6d 22h 50m",6,Frederick Gregory,"DSP-16 (Defense Support Program satellite) / Terra Scout",Classified DoD / Science,"Deployed DSP early-warning satellite; mission shortened by 3 days due to IMU failure; carried military Terra Scout experiment",Complete
45,STS-42,Discovery,1992-01-22,1992-01-30,"8d 01h 14m",7,Ronald Grabe,"IML-1 (International Microgravity Lab)",Science,"First International Microgravity Laboratory; first Canadian woman in space (Roberta Bondar); 55 experiments from 16 countries",Complete
46,STS-45,Atlantis,1992-03-24,1992-04-02,"8d 22h 09m",7,Charles Bolden,"ATLAS-1 (Atmospheric Laboratory for Applications and Science)",Science,"First ATLAS mission; 12 instruments studying atmospheric science and solar observations; first Belgian astronaut (Dirk Frimout)",Complete
47,STS-49,Endeavour,1992-05-07,1992-05-16,"8d 21h 17m",7,Daniel Brandenstein,"Intelsat VI repair and reboost",Satellite Servicing,"Endeavour's maiden flight; first 3-person EVA; captured and repaired Intelsat 603; longest EVA to date (8h 29m); first 4 EVAs on single mission",Complete
48,STS-50,Columbia,1992-06-25,1992-07-09,"13d 19h 30m",7,Richard Richards,"USML-1 (US Microgravity Laboratory)",Science,"First US Microgravity Laboratory; first Extended Duration Orbiter (EDO) pallet; longest Columbia mission at time",Complete
49,STS-46,Atlantis,1992-07-31,1992-08-08,"7d 23h 15m",7,Loren Shriver,"TSS-1 (Tethered Satellite System) / EURECA deploy",Science / Satellite Deploy,"First Tethered Satellite System test (tether jammed at 840 ft of planned 12.5 mi); deployed ESA EURECA retrievable carrier; first Italian/Swiss crew",Complete
50,STS-47,Endeavour,1992-09-12,1992-09-20,"7d 22h 30m",7,Robert Gibson,"Spacelab-J (Japanese)",Science,"First Japanese Spacelab mission; first African-American woman in space (Mae Jemison); first married couple in space (Lee and Davis)",Complete
51,STS-52,Columbia,1992-10-22,1992-11-01,"9d 20h 56m",6,James Wetherbee,"LAGEOS II deploy / USMP-1",Satellite Deploy / Science,"Deployed LAGEOS II geodetic satellite (NASA/ASI); USMP-1 microgravity experiments",Complete
52,STS-53,Discovery,1992-12-02,1992-12-09,"7d 07h 19m",5,David Walker,"DoD-1 (classified SDS-3 satellite)",Classified DoD,"Last dedicated DoD Shuttle mission; last classified Shuttle payload",Complete
53,STS-54,Endeavour,1993-01-13,1993-01-19,"5d 23h 38m",5,John Casper,"TDRS-6",Satellite Deploy,"Deployed TDRS-F; DXS (Diffuse X-ray Spectrometer) experiment; EVA test of assembly techniques",Complete
54,STS-56,Discovery,1993-04-08,1993-04-17,"9d 06h 08m",5,Kenneth Cameron,"ATLAS-2 / SPARTAN-201",Science,"Second ATLAS atmospheric science mission; free-flying SPARTAN-201 solar observatory",Complete
55,STS-55,Columbia,1993-04-26,1993-05-06,"9d 23h 39m",7,Steven Nagel,"Spacelab D-2 (German)",Science,"Second German Spacelab mission; nearly 90 experiments in materials/life science; longest Columbia mission to that point",Complete
56,STS-57,Endeavour,1993-06-21,1993-06-30,"9d 23h 44m",6,Ronald Grabe,"SPACEHAB-1 / EURECA retrieval",Science / Satellite Retrieval,"First SPACEHAB commercial module flight; retrieved ESA EURECA (deployed on STS-46)",Complete
57,STS-51,Discovery,1993-09-12,1993-09-22,"9d 20h 11m",5,Frank Culbertson,"ACTS / ORFEUS-SPAS",Satellite Deploy / Science,"Deployed ACTS advanced comms satellite; first EVA to test HST repair tools (for STS-61); ORFEUS-SPAS astronomy",Complete
58,STS-58,Columbia,1993-10-18,1993-11-01,"14d 00h 12m",7,John Blaha,"Spacelab Life Sciences 2 (SLS-2)",Science,"Second dedicated life sciences Spacelab; longest Shuttle mission at that time; 14 experiments on human adaptation to microgravity",Complete
59,STS-61,Endeavour,1993-12-02,1993-12-13,"10d 19h 58m",7,Richard Covey,"Hubble Space Telescope Servicing Mission 1",Hubble Servicing,"First HST servicing mission; installed COSTAR corrective optics and WFPC2; fixed Hubble's flawed mirror; 5 EVAs totaling 35+ hours; saved the telescope",Complete
60,STS-60,Discovery,1994-02-03,1994-02-11,"8d 07h 09m",6,Charles Bolden,"SPACEHAB-2 / WSF-1",Science,"First Russian cosmonaut on Shuttle (Sergei Krikalev); beginning of US-Russian cooperation",Complete
61,STS-62,Columbia,1994-03-04,1994-03-18,"13d 23h 16m",5,John Casper,"USMP-2 / OAST-2",Science,"Microgravity and technology experiments; longest Columbia mission to date",Complete
62,STS-59,Endeavour,1994-04-09,1994-04-20,"11d 05h 49m",6,Sidney Gutierrez,"SRL-1 (Space Radar Lab)",Earth Science,"First Space Radar Laboratory mission; three imaging radars mapped Earth's surface and environment",Complete
63,STS-65,Columbia,1994-07-08,1994-07-23,"14d 17h 55m",7,Robert Cabana,"IML-2 (International Microgravity Lab 2)",Science,"Second International Microgravity Laboratory; first Japanese woman in space (Chiaki Mukai); longest Shuttle mission at time; 82 experiments",Complete
64,STS-64,Discovery,1994-09-09,1994-09-20,"10d 22h 49m",6,Richard Richards,"LITE / SPARTAN-201 / SAFER test",Science,"First test of SAFER (jet backpack for EVA rescue); LITE first space-based lidar system; SPARTAN solar wind studies",Complete
65,STS-68,Endeavour,1994-09-30,1994-10-11,"11d 05h 46m",6,Michael Baker,"SRL-2 (Space Radar Lab 2)",Earth Science,"Second Space Radar Lab mission; mapped Earth again for comparison with SRL-1 seasonal changes",Complete
66,STS-66,Atlantis,1994-11-03,1994-11-14,"10d 22h 34m",6,Donald McMonagle,"ATLAS-3 / CRISTA-SPAS",Science,"Third ATLAS atmospheric science mission; studied middle atmosphere chemistry; CRISTA infrared observations",Complete
67,STS-63,Discovery,1995-02-03,1995-02-11,"8d 06h 28m",6,James Wetherbee,"SPACEHAB-3 / Mir rendezvous",Mir Rendezvous,"First Shuttle-Mir rendezvous (flyaround approach to 37 ft); first female Shuttle pilot (Eileen Collins); first cosmonaut on Discovery",Complete
68,STS-67,Endeavour,1995-03-02,1995-03-18,"16d 15h 08m",7,Stephen Oswald,"ASTRO-2 (UV astronomy)",Science,"ASTRO-2 ultraviolet astronomy; longest Shuttle mission at time (16 days); 3 UV telescopes observed 300+ celestial objects",Complete
69,STS-71,Atlantis,1995-06-27,1995-07-07,"9d 19h 22m",7,Robert Gibson,"Spacelab-Mir / crew exchange",Shuttle-Mir,"First Shuttle-Mir docking; 100th US human spaceflight; exchanged crew (brought up Mir-19 crew); first time Shuttle-station crew transfer",Complete
70,STS-70,Discovery,1995-07-13,1995-07-22,"8d 22h 20m",5,Terence Henricks,"TDRS-7",Satellite Deploy,"Deployed TDRS-G (7th and final first-generation TDRS); woodpecker delayed launch by damaging ET foam",Complete
71,STS-69,Endeavour,1995-09-07,1995-09-18,"10d 20h 28m",5,David Walker,"SPARTAN-201 / WSF-2",Science,"Second free-flight of SPARTAN-201; Wake Shield Facility grew thin film semiconductors in ultra-vacuum of wake",Complete
72,STS-73,Columbia,1995-10-20,1995-11-05,"15d 21h 52m",7,Kenneth Bowersox,"USML-2 (US Microgravity Lab 2)",Science,"Second US Microgravity Laboratory; fluid physics crystal growth and combustion experiments; 16-day mission",Complete
73,STS-74,Atlantis,1995-11-12,1995-11-20,"8d 04h 30m",5,Kenneth Cameron,"Mir Docking Module install",Shuttle-Mir,"Second Shuttle-Mir docking; attached Russian-built Docking Module to Mir's Kristall; module used for all subsequent Shuttle-Mir dockings",Complete
74,STS-72,Endeavour,1996-01-11,1996-01-20,"8d 22h 01m",6,Brian Duffy,"SFU retrieval / OAST-Flyer deploy-retrieve",Satellite Retrieval / Science,"Retrieved Japanese Space Flyer Unit (SFU); tested EVA tools planned for ISS assembly; deployed and retrieved OAST-Flyer",Complete
75,STS-75,Columbia,1996-02-22,1996-03-09,"15d 17h 40m",7,Andrew Allen,"TSS-1R (Tethered Satellite System reflight) / USMP-3",Science,"Tethered Satellite System reflight — tether deployed to 12.2 mi but snapped; satellite lost; demonstrated tether electrodynamics before failure",Complete
76,STS-76,Atlantis,1996-03-22,1996-03-31,"9d 05h 15m",6,Kevin Chilton,"SPACEHAB-SM / Mir docking 3 / Shannon Lucid transfer",Shuttle-Mir,"Third Shuttle-Mir docking; transferred Shannon Lucid to Mir for 188-day stay; first EVA during docked Shuttle-Mir mission",Complete
77,STS-77,Endeavour,1996-05-19,1996-05-29,"10d 00h 39m",6,John Casper,"SPACEHAB-4 / SPARTAN-207/IAE",Science,"Inflatable Antenna Experiment (IAE) — first large inflatable structure in orbit; SPACEHAB commercial experiments",Complete
78,STS-78,Columbia,1996-06-20,1996-07-07,"16d 21h 47m",7,Terence Henricks,"LMS (Life and Microgravity Spacelab)",Science,"Life and Microgravity Spacelab; longest Shuttle mission at time; 40+ experiments from 10 countries",Complete
79,STS-79,Atlantis,1996-09-16,1996-09-26,"10d 03h 18m",6,William Readdy,"SPACEHAB Double Module / Mir docking 4",Shuttle-Mir,"Fourth Shuttle-Mir docking; exchanged crew (Blaha for Lucid); first SPACEHAB Double Module",Complete
80,STS-80,Columbia,1996-11-19,1996-12-07,"17d 15h 53m",5,Kenneth Cockrell,"ORFEUS-SPAS II / WSF-3",Science,"Longest Shuttle mission ever (17d 15h); deployed and retrieved ORFEUS-SPAS II and WSF-3; planned EVAs cancelled (jammed airlock hatch)",Complete
81,STS-81,Atlantis,1997-01-12,1997-01-22,"10d 04h 55m",6,Michael Baker,"SPACEHAB Double Module / Mir docking 5",Shuttle-Mir,"Fifth Shuttle-Mir docking; exchanged crew (Linenger for Blaha); transferred 6 tons of supplies and experiments",Complete
82,STS-82,Discovery,1997-02-11,1997-02-21,"9d 23h 37m",7,Kenneth Bowersox,"Hubble Space Telescope Servicing Mission 2",Hubble Servicing,"Second HST servicing; installed STIS and NICMOS instruments; 5 EVAs totaling 33+ hours; greatly expanded Hubble's capabilities",Complete
83,STS-83,Columbia,1997-04-04,1997-04-08,"3d 23h 12m",7,James Halsell,"MSL-1 (Microgravity Science Lab)",Science,"Mission cut short from 16 to 4 days due to fuel cell problem; reflown as STS-94; shortest mission since return-to-flight",Complete
84,STS-84,Atlantis,1997-05-15,1997-05-24,"9d 05h 19m",7,Charles Precourt,"SPACEHAB Double Module / Mir docking 6",Shuttle-Mir,"Sixth Shuttle-Mir docking; exchanged crew (Foale for Linenger); transferred supplies to Mir",Complete
85,STS-94,Columbia,1997-07-01,1997-07-17,"15d 16h 44m",7,James Halsell,"MSL-1R (Microgravity Science Lab reflight)",Science,"Reflight of STS-83 payload; successfully completed full-duration microgravity research; same crew as STS-83",Complete
86,STS-85,Discovery,1997-08-07,1997-08-19,"11d 20h 27m",6,Curtis Brown,"CRISTA-SPAS-2 / TAS test / IEH-02",Science,"CRISTA-SPAS-2 atmospheric measurements; tested Japanese robotic arm technology (precursor to ISS JEM RMS)",Complete
87,STS-86,Atlantis,1997-09-25,1997-10-06,"10d 19h 20m",7,James Wetherbee,"SPACEHAB Double Module / Mir docking 7",Shuttle-Mir,"Seventh Shuttle-Mir docking; exchanged crew (Wolf for Foale); first EVA by a Russian from the Shuttle (Vladimir Titov)",Complete
88,STS-87,Columbia,1997-11-19,1997-12-05,"15d 16h 34m",6,Kevin Kregel,"USMP-4 / SPARTAN-201 / Sprint",Science,"Fourth flight of SPARTAN-201; USMP-4 materials science; first EVA by a woman outside the Shuttle (Kalpana Chawla controlled RMS inside); Leonid Kadenyuk (Ukraine)",Complete
89,STS-89,Endeavour,1998-01-22,1998-01-31,"8d 19h 46m",7,Terrence Wilcutt,"SPACEHAB Double Module / Mir docking 8",Shuttle-Mir,"Eighth Shuttle-Mir docking; exchanged crew (Thomas for Wolf); SPACEHAB experiments",Complete
90,STS-90,Columbia,1998-04-17,1998-05-03,"15d 21h 49m",7,Richard Searfoss,"Neurolab (Spacelab)",Science,"Neurolab — last dedicated Spacelab mission; 26 neuroscience experiments studying the nervous system in microgravity; last science-dedicated Columbia mission",Complete
91,STS-91,Discovery,1998-06-02,1998-06-12,"9d 19h 54m",6,Charles Precourt,"SPACEHAB Single Module / Mir docking 9",Shuttle-Mir,"Ninth and final Shuttle-Mir docking; last US astronaut returned from Mir (Andrew Thomas); AMS-01 prototype (alpha magnetic spectrometer); end of Shuttle-Mir program",Complete
92,STS-95,Discovery,1998-10-29,1998-11-07,"8d 21h 43m",7,Curtis Brown,"SPACEHAB / HOST / SPARTAN-201 / IEH-03",Science,"John Glenn returned to space at age 77 (oldest person in space); first Spanish astronaut (Pedro Duque); Hubble Orbiting Systems Test",Complete
93,STS-88,Endeavour,1998-12-04,1998-12-15,"11d 19h 17m",6,Robert Cabana,"Unity Node 1 (ISS)",ISS Assembly,"First ISS assembly mission; connected Unity (Node 1) to Russian Zarya module; first Shuttle crew to enter ISS; start of ISS construction",Complete
94,STS-96,Discovery,1999-05-27,1999-06-06,"9d 19h 13m",7,Kent Rominger,"SPACEHAB / ISS logistics",ISS Logistics,"First Shuttle docking with ISS; delivered supplies and equipment; installed crane and portable foot restraints; Canadarm used for ISS work",Complete
95,STS-93,Columbia,1999-07-23,1999-07-27,"4d 22h 49m",5,Eileen Collins,"Chandra X-ray Observatory",Satellite Deploy,"First female Shuttle commander; deployed Chandra X-ray Observatory (3rd of NASA's Great Observatories); electrical short during ascent caused main engine controller issues",Complete
96,STS-103,Discovery,1999-12-19,1999-12-27,"7d 23h 10m",7,Curtis Brown,"Hubble Space Telescope Servicing Mission 3A",Hubble Servicing,"Third HST servicing; replaced all 6 gyroscopes; new computer; new Fine Guidance Sensor; 3 EVAs; urgent mission due to gyro failures threatening HST",Complete
97,STS-99,Endeavour,2000-02-11,2000-02-22,"11d 05h 38m",6,Kevin Kregel,"SRTM (Shuttle Radar Topography Mission)",Earth Science,"Shuttle Radar Topography Mission mapped 80% of Earth's land surface in 3D; 200-ft radar mast deployed from payload bay; most topographic data ever collected",Complete
98,STS-101,Atlantis,2000-05-19,2000-05-29,"9d 21h 10m",7,James Halsell,"ISS logistics / maintenance",ISS Logistics,"ISS repair and logistics mission; replaced and repaired equipment on ISS; one EVA; Atlantis became 2nd orbiter to visit ISS",Complete
99,STS-106,Atlantis,2000-09-08,2000-09-20,"11d 19h 10m",7,Terrence Wilcutt,"ISS logistics / Zvezda outfitting",ISS Logistics,"Prepared ISS Zvezda Service Module for first crew (Expedition 1); installed batteries converters and supplies; one EVA to connect cables between Zarya and Zvezda",Complete
100,STS-92,Discovery,2000-10-11,2000-10-24,"12d 21h 40m",7,Brian Duffy,"Z1 Truss / PMA-3 (ISS)",ISS Assembly,"100th Shuttle mission; attached Z1 truss (first ISS truss element) and PMA-3; 4 EVAs; prepared ISS for first permanent crew",Complete
101,STS-97,Endeavour,2000-11-30,2000-12-11,"10d 19h 57m",5,Brent Jett,"P6 Solar Array Truss (ISS)",ISS Assembly,"Installed P6 ITS solar arrays — first ISS solar power module; provided electrical power for ISS; 3 EVAs; visited Expedition 1 crew",Complete
102,STS-98,Atlantis,2001-02-07,2001-02-20,"12d 21h 20m",5,Kenneth Cockrell,"Destiny Laboratory Module (ISS)",ISS Assembly,"Delivered and installed US Destiny Lab — ISS primary research facility; 3 EVAs; key milestone in ISS construction",Complete
103,STS-102,Discovery,2001-03-08,2001-03-21,"12d 19h 50m",7,James Wetherbee,"Leonardo MPLM-1 / Expedition 1-2 crew rotation",ISS Assembly / Crew Rotation,"First MPLM (Leonardo) flight to ISS; Expedition 1/2 crew exchange; transferred 5 tons of supplies via MPLM; 2 EVAs",Complete
104,STS-100,Endeavour,2001-04-19,2001-05-01,"11d 21h 30m",7,Kent Rominger,"Canadarm2 (SSRMS) / Raffaello MPLM",ISS Assembly,"Installed Canadarm2 (ISS robotic arm); first MPLM Raffaello flight; Chris Hadfield first Canadian to walk in space; 2 EVAs",Complete
105,STS-104,Atlantis,2001-07-12,2001-07-24,"12d 18h 35m",5,Steven Lindsey,"Quest Airlock (ISS)",ISS Assembly,"Installed Quest Joint Airlock — enabled EVAs directly from ISS with both US and Russian suits; 3 EVAs during installation",Complete
106,STS-105,Discovery,2001-08-10,2001-08-22,"11d 21h 12m",7,Scott Horowitz,"Leonardo MPLM-3 / Expedition 2-3 crew rotation",ISS Assembly / Crew Rotation,"Third Leonardo MPLM flight; Expedition 2/3 crew exchange; 2 EVAs; delivered science experiments and supplies",Complete
107,STS-108,Endeavour,2001-12-05,2001-12-17,"11d 19h 35m",7,Dominic Gorie,"Raffaello MPLM / Expedition 3-4 crew rotation",ISS Logistics / Crew Rotation,"Expedition 3/4 crew exchange; Raffaello MPLM delivered supplies; one EVA for ISS thermal blanket installation; last flight of 2001",Complete
108,STS-109,Columbia,2002-03-01,2002-03-12,"10d 22h 10m",7,Scott Altman,"Hubble Space Telescope Servicing Mission 3B",Hubble Servicing,"Fourth HST servicing; installed Advanced Camera for Surveys (ACS); replaced solar arrays and Power Control Unit; 5 EVAs; significantly upgraded Hubble",Complete
