version,mission_code,mission_name,start_date,end_date,mission_type,program,epoch,status,notes
1.34,RANGER-7,Ranger 7,1964-07-28,1964-07-31,lunar-impact,Ranger,1,complete,"First US close-up photos of Moon; 4308 images before impact; Sea of Clouds"
1.35,MARINER-3,Mariner 3,1964-11-05,1964-11-05,planetary-flyby,Mariner,1,failed,"Mars flyby attempt; nose fairing did not separate"
1.36,MARINER-4,Mariner 4,1964-11-28,1967-12-21,planetary-flyby,Mariner,1,complete,"First close-up images of Mars Jul 15 1965; showed cratered terrain; no canals"
1.37,RANGER-8,Ranger 8,1965-02-17,1965-02-20,lunar-impact,Ranger,1,complete,"7137 images of Sea of Tranquility before impact; Apollo landing site survey"
1.38,RANGER-9,Ranger 9,1965-03-21,1965-03-24,lunar-impact,Ranger,1,complete,"5814 images of crater Alphonsus; live TV broadcast of impact"
1.39,GEMINI-3,Gemini 3 / Molly Brown,1965-03-23,1965-03-23,crewed-orbital,Gemini,1,complete,"Grissom Young; first crewed Gemini; first orbital maneuver by crewed spacecraft"
1.40,GEMINI-4,Gemini 4,1965-06-03,1965-06-07,crewed-orbital,Gemini,1,complete,"McDivitt White; Ed White first American EVA 23 min; 4-day mission"
1.41,GEMINI-5,Gemini 5,1965-08-21,1965-08-29,crewed-orbital,Gemini,1,complete,"Cooper Conrad; 8-day endurance mission; tested fuel cells; rendezvous evaluation pod"
1.42,GEMINI-7,Gemini 7,1965-12-04,1965-12-18,crewed-orbital,Gemini,1,complete,"Borman Lovell; 14-day endurance record; medical baseline for Apollo"
1.43,GEMINI-6A,Gemini 6A,1965-12-15,1965-12-16,crewed-orbital,Gemini,1,complete,"Schirra Stafford; first space rendezvous with Gemini 7; approached within 30cm"
1.44,PIONEER-6,Pioneer 6,1965-12-16,2000-12-08,heliophysics,Pioneer,1,complete,"Solar wind monitor; operated 35 years; longest-lived NASA spacecraft at the time"
1.45,GEMINI-8,Gemini 8,1966-03-16,1966-03-17,crewed-orbital,Gemini,1,complete,"Armstrong Scott; first space docking with Agena; thruster malfunction emergency return"
1.46,SURVEYOR-1,Surveyor 1,1966-05-30,1967-01-07,lunar-lander,Surveyor,1,complete,"First US soft lunar landing Jun 2 1966; 11237 photos from Ocean of Storms"
1.47,GEMINI-9A,Gemini 9A,1966-06-03,1966-06-06,crewed-orbital,Gemini,1,complete,"Stafford Cernan; EVA; rendezvous with ATDA; angry alligator docking failure"
1.48,LUNAR-ORBITER-1,Lunar Orbiter 1,1966-08-10,1966-10-29,lunar-orbiter,Lunar Orbiter,1,complete,"First US spacecraft to orbit Moon; photographed potential Apollo landing sites"
1.49,GEMINI-10,Gemini 10,1966-07-18,1966-07-21,crewed-orbital,Gemini,1,complete,"Young Collins; double rendezvous with two Agena vehicles; EVA"
1.50,GEMINI-11,Gemini 11,1966-09-12,1966-09-15,crewed-orbital,Gemini,1,complete,"Conrad Gordon; record 1369 km altitude; first-orbit docking; tethered flight"
1.51,SURVEYOR-2,Surveyor 2,1966-09-20,1966-09-23,lunar-lander,Surveyor,1,failed,"Vernier engine failure; crashed on Moon"
1.52,LUNAR-ORBITER-2,Lunar Orbiter 2,1966-11-06,1967-10-11,lunar-orbiter,Lunar Orbiter,1,complete,"Apollo site photography; famous oblique photo of Copernicus crater"
1.53,GEMINI-12,Gemini 12,1966-11-11,1966-11-15,crewed-orbital,Gemini,1,complete,"Lovell Aldrin; final Gemini; Aldrin EVA 5.5 hours; proved EVA workable"
1.54,LUNAR-ORBITER-3,Lunar Orbiter 3,1967-02-05,1967-10-09,lunar-orbiter,Lunar Orbiter,1,complete,"Completed Apollo landing site confirmation photography"
1.55,SURVEYOR-3,Surveyor 3,1967-04-17,1967-05-03,lunar-lander,Surveyor,1,complete,"Landed Ocean of Storms; soil mechanics scoop; later visited by Apollo 12"
1.56,MARINER-5,Mariner 5,1967-06-14,1967-11-21,planetary-flyby,Mariner,1,complete,"Venus flyby Oct 19 1967; measured atmosphere density temperature magnetic field"
1.57,LUNAR-ORBITER-4,Lunar Orbiter 4,1967-05-04,1967-10-06,lunar-orbiter,Lunar Orbiter,1,complete,"Near-polar orbit; first photos of lunar south pole"
1.58,SURVEYOR-4,Surveyor 4,1967-07-14,1967-07-17,lunar-lander,Surveyor,1,failed,"Contact lost 2.5 min before touchdown; likely crashed"
1.59,EXPLORER-35,Explorer 35 (IMP-E),1967-07-19,1973-06-24,magnetosphere,Explorer,1,complete,"Lunar anchored interplanetary monitoring platform; 6 year mission at Moon"
1.60,LUNAR-ORBITER-5,Lunar Orbiter 5,1967-08-01,1968-01-31,lunar-orbiter,Lunar Orbiter,1,complete,"Final Lunar Orbiter; completed 99% of lunar surface mapping"
1.61,SURVEYOR-5,Surveyor 5,1967-09-08,1967-12-17,lunar-lander,Surveyor,1,complete,"First chemical analysis of lunar soil; alpha scattering instrument"
1.62,SURVEYOR-6,Surveyor 6,1967-11-07,1967-12-14,lunar-lander,Surveyor,1,complete,"First spacecraft to lift off from Moon (2.5m hop); Sinus Medii"
1.63,PIONEER-8,Pioneer 8,1967-12-13,1996-08-22,heliophysics,Pioneer,1,complete,"Solar wind and cosmic ray monitoring in heliocentric orbit"
1.64,SURVEYOR-7,Surveyor 7,1968-01-07,1968-02-21,lunar-lander,Surveyor,1,complete,"Final Surveyor; landed near Tycho crater; science-focused mission"
1.65,PIONEER-9,Pioneer 9,1968-11-08,1983-05-19,heliophysics,Pioneer,1,complete,"Solar wind monitoring; complemented Pioneer 6-8 network"
1.66,APOLLO-1,Apollo 1 (AS-204),1967-01-27,1967-01-27,tragedy,Apollo,2,failed,"Cabin fire during pad test killed Grissom White Chaffee; pure O2 atmosphere; 18-month redesign"
1.67,APOLLO-4,Apollo 4 (AS-501),1967-11-09,1967-11-09,test-flight,Apollo,2,complete,"First flight of Saturn V; all-up unmanned test; perfect flight"
1.68,APOLLO-5,Apollo 5 (AS-204R),1968-01-22,1968-02-12,test-flight,Apollo,2,complete,"First flight test of Lunar Module in Earth orbit"
1.69,APOLLO-6,Apollo 6 (AS-502),1968-04-04,1968-04-04,test-flight,Apollo,2,partial,"Second Saturn V test; pogo oscillation and engine failures; objectives partially met"
1.70,APOLLO-7,Apollo 7,1968-10-11,1968-10-22,crewed-orbital,Apollo,2,complete,"Schirra Eisele Cunningham; first crewed Apollo; 11-day Earth orbit; first live US TV from space"
1.71,APOLLO-8,Apollo 8,1968-12-21,1968-12-27,crewed-lunar-orbit,Apollo,2,complete,"Borman Lovell Anders; first humans to orbit Moon; 10 lunar orbits; Earthrise photograph"
1.72,APOLLO-9,Apollo 9,1969-03-03,1969-03-13,crewed-orbital,Apollo,2,complete,"McDivitt Scott Schweickart; first crewed LM test in Earth orbit; Spider and Gumdrop"
1.73,APOLLO-10,Apollo 10,1969-05-18,1969-05-26,crewed-lunar-orbit,Apollo,2,complete,"Stafford Young Cernan; full dress rehearsal; LM descended to 14.4 km of lunar surface"
1.74,APOLLO-11,Apollo 11,1969-07-16,1969-07-24,crewed-lunar-landing,Apollo,2,complete,"Armstrong Aldrin Collins; first humans on Moon Jul 20 1969; Sea of Tranquility; 650M viewers"
1.75,APOLLO-12,Apollo 12,1969-11-14,1969-11-24,crewed-lunar-landing,Apollo,2,complete,"Conrad Bean Gordon; precision landing 163m from Surveyor 3; Ocean of Storms; struck by lightning at launch"
1.76,APOLLO-13,Apollo 13,1970-04-11,1970-04-17,crewed-lunar-abort,Apollo,2,complete,"Lovell Haise Swigert; O2 tank explosion; lifeboat mission using LM; successful failure"
1.77,APOLLO-14,Apollo 14,1971-01-31,1971-02-09,crewed-lunar-landing,Apollo,2,complete,"Shepard Mitchell Roosa; Fra Mauro highlands; Shepard hit golf balls; first MET cart"
1.78,MARINER-8,Mariner 8,1971-05-09,1971-05-09,planetary-orbiter,Mariner,2,failed,"Mars orbiter attempt; Centaur stage failure; crashed in Atlantic"
1.79,MARINER-9,Mariner 9,1971-05-30,1972-10-27,planetary-orbiter,Mariner,2,complete,"First spacecraft to orbit another planet (Mars); mapped 85% of surface; Olympus Mons discovery"
1.80,APOLLO-15,Apollo 15,1971-07-26,1971-08-07,crewed-lunar-landing,Apollo,2,complete,"Scott Irwin Worden; first Lunar Roving Vehicle; Hadley Rille; extended J-mission; 77kg samples"
1.81,PIONEER-10,Pioneer 10,1972-03-03,2003-01-23,outer-planet-flyby,Pioneer,3,complete,"First through asteroid belt; first Jupiter flyby Dec 1973; first spacecraft beyond known planets"
1.82,APOLLO-16,Apollo 16,1972-04-16,1972-04-27,crewed-lunar-landing,Apollo,2,complete,"Young Duke Mattingly; Descartes highlands geology; UV telescope; 95kg samples"
1.83,APOLLO-17,Apollo 17,1972-12-07,1972-12-19,crewed-lunar-landing,Apollo,2,complete,"Cernan Schmitt Evans; last Moon landing; geologist on surface; 110kg samples; 75 hours EVA total"
1.84,PIONEER-11,Pioneer 11,1973-04-06,1995-09-30,outer-planet-flyby,Pioneer,3,complete,"Jupiter flyby 1974; first Saturn flyby Sep 1979; discovered F ring"
1.85,SKYLAB-LAUNCH,Skylab (Station Launch),1973-05-14,1979-07-11,space-station,Skylab,3,complete,"First US space station; last Saturn V launch; micrometeoroid shield damage on launch"
1.86,SKYLAB-2,Skylab 2 (SL-2),1973-05-25,1973-06-22,crewed-station,Skylab,3,complete,"Conrad Kerwin Weitz; 28 days; repaired damaged station; deployed parasol sunshield"
1.87,SKYLAB-3,Skylab 3 (SL-3),1973-07-28,1973-09-25,crewed-station,Skylab,3,complete,"Bean Garriott Lousma; 59 days; EVA record; solar observations; Earth resources"
1.88,SKYLAB-4,Skylab 4 (SL-4),1973-11-16,1974-02-08,crewed-station,Skylab,3,complete,"Carr Gibson Pogue; 84 days US endurance record; observed Comet Kohoutek"
1.89,MARINER-10,Mariner 10,1973-11-03,1975-03-24,planetary-flyby,Mariner,3,complete,"First spacecraft to Mercury; Venus gravity assist; three Mercury flybys; discovered Mercury magnetic field"
1.90,APOLLO-SOYUZ,Apollo-Soyuz Test Project (ASTP),1975-07-15,1975-07-24,crewed-international,Apollo-Soyuz,3,complete,"Stafford Brand Slayton; first US-Soviet joint mission; orbital docking; last Apollo flight"
1.91,VIKING-1,Viking 1,1975-08-20,1982-11-13,mars-lander-orbiter,Viking,3,complete,"First successful Mars landing Jul 20 1976; Chryse Planitia; biology experiments; orbiter mapped surface"
1.92,VIKING-2,Viking 2,1975-09-09,1980-04-11,mars-lander-orbiter,Viking,3,complete,"Second Mars landing Sep 3 1976; Utopia Planitia; biology experiments; searched for life"
1.93,VOYAGER-2,Voyager 2,1977-08-20,,outer-planet-grand-tour,Voyager,3,operational,"Grand Tour: Jupiter 1979 Saturn 1981 Uranus 1986 Neptune 1989; interstellar medium; still transmitting"
1.94,VOYAGER-1,Voyager 1,1977-09-05,,outer-planet-flyby,Voyager,3,operational,"Jupiter 1979 Saturn 1980; crossed heliopause Aug 25 2012; most distant human object; still transmitting"
1.95,PIONEER-VENUS-1,Pioneer Venus Orbiter,1978-05-20,1992-10-08,venus-orbiter,Pioneer Venus,3,complete,"Venus orbiter; radar mapping; atmospheric studies; 14 years of operation"
1.96,PIONEER-VENUS-2,Pioneer Venus Multiprobe,1978-08-08,1978-12-09,venus-probe,Pioneer Venus,3,complete,"Released 4 atmospheric probes into Venus atmosphere; measured composition"
1.97,ISEE-3,ISEE-3/ICE,1978-08-12,1997-05-05,heliophysics-comet,Explorer,3,complete,"International Sun-Earth Explorer; redirected to flyby Comet Giacobini-Zinner 1985"
1.98,HEAO-1,HEAO-1,1977-08-12,1979-01-09,observatory,HEAO,3,complete,"First High Energy Astronomy Observatory; X-ray all-sky survey"
1.99,HEAO-2,HEAO-2 / Einstein Observatory,1978-11-13,1981-04-26,observatory,HEAO,3,complete,"First fully imaging X-ray telescope in space"
1.100,HEAO-3,HEAO-3,1979-09-20,1981-05-29,observatory,HEAO,3,complete,"Gamma-ray spectroscopy and cosmic ray studies"
1.101,SOLAR-MAX,Solar Maximum Mission (SolarMax),1980-02-14,1989-12-02,heliophysics,SMM,3,complete,"Solar flare studies; repaired in orbit by STS-41-C in 1984"
1.102,STS-1,STS-1 Columbia,1981-04-12,1981-04-14,crewed-orbital,Space Shuttle,4,complete,"Young Crippen; first Space Shuttle flight; first winged reentry from orbit"
1.103,STS-2,STS-2 Columbia,1981-11-12,1981-11-14,crewed-orbital,Space Shuttle,4,complete,"Engle Truly; first reuse of crewed orbital spacecraft; tested RMS arm"
1.104,STS-3,STS-3 Columbia,1982-03-22,1982-03-30,crewed-orbital,Space Shuttle,4,complete,"Lousma Fullerton; thermal tests; landed at White Sands"
1.105,STS-4,STS-4 Columbia,1982-06-27,1982-07-04,crewed-orbital,Space Shuttle,4,complete,"Mattingly Hartsfield; final orbital test flight; first DoD payload"
1.106,STS-5,STS-5 Columbia,1982-11-11,1982-11-16,crewed-orbital,Space Shuttle,4,complete,"First operational Shuttle mission; deployed two commercial satellites"
1.107,IRAS,Infrared Astronomical Satellite (IRAS),1983-01-25,1983-11-21,observatory,IRAS,4,complete,"First infrared space telescope; mapped 96% of sky; discovered 350000 sources"
1.108,STS-6,STS-6 Challenger,1983-04-04,1983-04-09,crewed-orbital,Space Shuttle,4,complete,"First Challenger flight; deployed TDRS-1; first Shuttle EVA"
1.109,STS-7,STS-7 Challenger,1983-06-18,1983-06-24,crewed-orbital,Space Shuttle,4,complete,"Sally Ride first American woman in space; deployed two satellites"
1.110,STS-8,STS-8 Challenger,1983-08-30,1983-09-05,crewed-orbital,Space Shuttle,4,complete,"Guy Bluford first African American in space; first night launch and landing"
1.111,STS-41-B,STS-41-B Challenger,1984-02-03,1984-02-11,crewed-orbital,Space Shuttle,4,complete,"Bruce McCandless first untethered EVA (MMU); failed satellite deployments"
1.112,STS-41-C,STS-41-C Challenger,1984-04-06,1984-04-13,crewed-orbital,Space Shuttle,4,complete,"First on-orbit satellite repair (Solar Max); LDEF deployed"
1.113,STS-41-D,STS-41-D Discovery,1984-08-30,1984-09-05,crewed-orbital,Space Shuttle,4,complete,"First Discovery flight; deployed 3 satellites; first commercial payload"
1.114,STS-51-A,STS-51-A Discovery,1984-11-08,1984-11-16,crewed-orbital,Space Shuttle,4,complete,"First satellite retrieval from orbit; recovered Palapa B2 and Westar 6"
1.115,STS-51-L,STS-51-L Challenger,1986-01-28,1986-01-28,tragedy,Space Shuttle,4,failed,"O-ring failure SRB joint in cold; 7 killed: Scobee Smith Resnik Onizuka McNair McAuliffe Jarvis; 32-month stand-down"
1.116,MAGELLAN,Magellan,1989-05-04,1994-10-13,venus-radar-mapper,Magellan,4,complete,"Launched STS-30; radar mapped 98% of Venus surface at high resolution"
1.117,GALILEO,Galileo,1989-10-18,2003-09-21,outer-planet-orbiter,Galileo,4,complete,"Launched STS-34; Jupiter orbiter 1995-2003; Europa subsurface ocean evidence; atmospheric probe"
1.118,COBE,Cosmic Background Explorer (COBE),1989-11-18,1993-12-23,observatory,COBE,4,complete,"Measured cosmic microwave background; confirmed Big Bang prediction; Nobel Prize 2006"
1.119,HST,Hubble Space Telescope,1990-04-24,,observatory,Great Observatories,4,operational,"Launched STS-31; 35+ years operation; mirror fix STS-61 1993; 5 servicing missions through STS-125 2009"
1.120,ULYSSES,Ulysses,1990-10-06,2009-06-30,heliophysics,Ulysses,4,complete,"Launched STS-41; joint ESA/NASA; first polar solar orbiter; studied solar wind at all latitudes"
1.121,CGRO,Compton Gamma Ray Observatory,1991-04-05,2000-06-04,observatory,Great Observatories,4,complete,"Launched STS-37; gamma-ray observations; discovered gamma-ray bursts are extragalactic"
1.122,UARS,Upper Atmosphere Research Satellite,1991-09-12,2011-09-24,earth-science,UARS,4,complete,"Launched STS-48; studied ozone depletion; atmospheric chemistry"
1.123,MARS-OBSERVER,Mars Observer,1992-09-25,1993-08-21,mars-orbiter,Mars Observer,4,failed,"Contact lost 3 days before Mars orbit insertion; likely propulsion failure"
1.124,CLEMENTINE,Clementine,1994-01-25,1994-05-07,lunar-orbiter,Clementine,4,complete,"DoD/NASA; mapped entire lunar surface; evidence of water ice at south pole"
1.125,STS-63,STS-63 Discovery,1995-02-03,1995-02-11,crewed-orbital,Shuttle-Mir,4,complete,"First Shuttle-Mir rendezvous (no dock); Eileen Collins first female Shuttle pilot"
1.126,STS-71,STS-71 Atlantis,1995-06-27,1995-07-07,crewed-orbital,Shuttle-Mir,4,complete,"First Shuttle-Mir docking; exchanged crew; 100th US human spaceflight"
1.127,SOHO,Solar and Heliospheric Observatory,1995-12-02,,heliophysics,SOHO,4,operational,"ESA/NASA joint; Sun observations from L1; discovered 4000+ comets"
1.128,NEAR-SHOEMAKER,NEAR Shoemaker,1996-02-17,2001-02-28,asteroid-orbiter,Discovery,5,complete,"First asteroid orbiter; orbited 433 Eros for 1 year; first asteroid landing"
1.129,MGS,Mars Global Surveyor,1996-11-07,2006-11-02,mars-orbiter,Mars Surveyor,5,complete,"Mars orbiter 1997-2006; mapped entire surface; found evidence of recent water flow"
1.130,PATHFINDER,Mars Pathfinder / Sojourner,1996-12-04,1997-09-27,mars-lander-rover,Discovery,5,complete,"First Mars rover Jul 4 1997; Sojourner 83 sols; airbag landing; faster better cheaper"
1.131,ACE,Advanced Composition Explorer,1997-08-25,,heliophysics,ACE,5,operational,"Solar wind and cosmic ray monitor at L1; space weather forecasting"
1.132,CASSINI-HUYGENS,Cassini-Huygens,1997-10-15,2017-09-15,outer-planet-orbiter,Cassini,5,complete,"NASA/ESA/ASI; Saturn orbiter 2004-2017; 294 orbits; Enceladus geysers; Huygens landed Titan Jan 2005; Grand Finale"
1.133,LUNAR-PROSPECTOR,Lunar Prospector,1998-01-07,1999-07-31,lunar-orbiter,Discovery,5,complete,"Mapped lunar surface composition; confirmed hydrogen at poles suggesting water ice"
1.134,DEEP-SPACE-1,Deep Space 1 (DS1),1998-10-24,2001-12-18,asteroid-comet-flyby,New Millennium,5,complete,"First ion thruster propelled spacecraft; flyby asteroid 9969 Braille and Comet Borrelly"
1.135,ISS-ZARYA,International Space Station (Zarya module),1998-11-20,,space-station,ISS,6,operational,"First ISS module launched; joint US/Russia/ESA/JAXA/CSA; continuous habitation since Nov 2000"
1.136,MCO,Mars Climate Orbiter,1998-12-11,1999-09-23,mars-orbiter,Mars Surveyor,5,failed,"Lost in Mars atmosphere; metric/imperial unit conversion error; $125M loss"
1.137,MPL,Mars Polar Lander / Deep Space 2,1999-01-03,1999-12-03,mars-lander,Mars Surveyor,5,failed,"Contact lost during descent; likely premature engine cutoff; carried two penetrator probes also lost"
1.138,STARDUST,Stardust,1999-02-07,2011-03-24,comet-sample-return,Discovery,5,complete,"Collected comet Wild 2 dust; returned samples Jan 2006; also flew by Tempel 1 (NExT)"
1.139,CHANDRA,Chandra X-ray Observatory,1999-07-23,,observatory,Great Observatories,5,operational,"Launched STS-93; X-ray observatory; studies black holes supernovae galaxy clusters; 25+ years"
1.140,TERRA,Terra (EOS AM-1),1999-12-18,,earth-science,EOS,5,operational,"Earth Observing System flagship; 5 instruments; climate land ocean monitoring"
1.141,IMAGE,IMAGE (Imager for Magnetopause-to-Aurora Global Exploration),2000-03-25,2018-08-18,magnetosphere,IMAGE,5,complete,"First global magnetosphere imaging; lost contact 2005; recontacted 2018"
1.142,ISS-EXPEDITION-1,ISS Expedition 1,2000-10-31,2001-03-21,crewed-station,ISS,6,complete,"Shepherd Krikalev Gidzenko; first ISS resident crew; began continuous habitation"
1.143,ODYSSEY,2001 Mars Odyssey,2001-04-07,,mars-orbiter,Mars Odyssey,5,operational,"Longest-serving Mars spacecraft; mapped subsurface hydrogen/water; communications relay"
1.144,GENESIS,Genesis,2001-08-08,2004-09-08,solar-wind-sample,Genesis,5,partial,"Collected solar wind samples; return capsule parachute failed but samples partially recovered"
1.145,AQUA,Aqua (EOS PM-1),2002-05-04,,earth-science,EOS,5,operational,"Earth observation; water cycle; precipitation clouds sea surface temperature"
1.146,CONTOUR,CONTOUR,2002-07-03,2002-08-15,comet-flyby,Discovery,5,failed,"Contact lost during solid rocket firing; spacecraft broke apart"
1.147,MER-A,Spirit (MER-A),2003-06-10,2010-03-22,mars-rover,Mars Exploration Rover,5,complete,"Landed Gusev Crater Jan 3 2004; found evidence of past water; operated 6 years"
1.148,MER-B,Opportunity (MER-B),2003-07-07,2019-02-13,mars-rover,Mars Exploration Rover,5,complete,"Landed Meridiani Planum Jan 24 2004; 45.16 km driving record; 15 years; dust storm ended mission"
1.149,SPITZER,Spitzer Space Telescope,2003-08-25,2020-01-30,observatory,Great Observatories,5,complete,"Final Great Observatory; infrared; exoplanet atmospheres; galaxy formation; 16.5 years"
1.150,STS-107,STS-107 Columbia,2003-02-01,2003-02-01,tragedy,Space Shuttle,4,failed,"Foam strike to left wing leading edge; broke apart on reentry; 7 killed: Husband McCool Anderson Brown Chawla Clark Ramon; CAIB; 29-month stand-down"
1.151,MESSENGER,MESSENGER,2004-08-03,2015-04-30,mercury-orbiter,MESSENGER,5,complete,"First Mercury orbiter 2011-2015; mapped entire surface; discovered water ice at poles"
1.152,DEEP-IMPACT,Deep Impact / EPOXI,2005-01-12,2013-08-08,comet-impactor,Discovery,5,complete,"Impacted Comet Tempel 1 Jul 4 2005; studied interior composition; extended as EPOXI"
1.153,MRO,Mars Reconnaissance Orbiter,2005-08-12,,mars-orbiter,MRO,5,operational,"Highest resolution Mars camera (HiRISE); communications relay; found seasonal water flows"
1.154,NEW-HORIZONS,New Horizons,2006-01-19,,outer-planet-flyby,New Frontiers,5,operational,"Pluto flyby Jul 14 2015; first close-up images; Arrokoth flyby 2019; Kuiper Belt mission"
1.155,STS-121,STS-121 Discovery,2006-07-04,2006-07-17,crewed-orbital,Space Shuttle,4,complete,"Second return-to-flight after Columbia; tested safety improvements"
1.156,STEREO,STEREO (A and B),2006-10-26,,heliophysics,STEREO,5,operational,"Twin solar observatories; first 3D images of solar storms; contact lost with B 2014"
1.157,PHOENIX,Phoenix Mars Lander,2007-08-04,2008-11-02,mars-lander,Mars Scout,5,complete,"Landed Mars arctic May 25 2008; confirmed water ice; soil chemistry"
1.158,DAWN,Dawn,2007-09-27,2018-11-01,asteroid-orbiter,Discovery,5,complete,"First spacecraft to orbit two extraterrestrial bodies; Vesta 2011-2012; Ceres 2015-2018"
